,SalesOrderID,TotalDue,NumberofItems,OnlineOrderFlag
234,43893,472.3108,1,offline
235,43894,36585.904,7,offline
236,43895,36556.8816,15,offline
237,43896,4891.9878,5,offline
238,43897,57683.2312,14,offline
239,43898,57391.4284,28,offline
240,43899,13449.1563,13,offline
241,43900,38990.6256,9,offline
242,43901,25575.0,10,offline
243,43902,59486.4175,20,offline
244,43903,22.3061,1,offline
245,43904,12796.5962,12,offline
246,43905,11128.3803,11,offline
247,43906,37121.6273,14,offline
248,43907,16508.0083,22,offline
249,43908,2884.8375,3,offline
250,43909,28723.5473,9,offline
251,43910,21862.8919,16,offline
252,43911,22224.2255,15,offline
253,43912,14730.6466,16,offline
254,43913,41347.1129,12,offline
255,43914,9179.7465,5,offline
256,43915,4560.2864,1,offline
257,43916,44423.5959,14,offline
258,43917,24047.8587,14,offline
259,43918,3953.9884,1,online
260,43919,3953.9884,1,online
261,43920,3953.9884,1,online
262,43921,3953.9884,1,online
263,43922,3953.9884,1,online
264,43923,3953.9884,1,online
265,43924,3953.9884,1,online
266,43925,3953.9884,1,online
267,43926,3729.364,1,online
268,43927,3953.9884,1,online
269,43928,3953.9884,1,online
270,43929,772.5036,1,online
271,43930,3953.9884,1,online
272,43931,3953.9884,1,online
273,43932,3953.9884,1,online
274,43933,3756.989,1,online
275,43934,3756.989,1,online
276,43935,772.5036,1,online
277,43936,3953.9884,1,online
278,43937,3953.9884,1,online
279,43938,3953.9884,1,online
280,43939,3953.9884,1,online
281,43940,772.5036,1,online
282,43941,3953.9884,1,online
283,43942,3953.9884,1,online
284,43943,772.5036,1,online
285,43944,3756.989,1,online
286,43945,3953.9884,1,online
287,43946,3953.9884,1,online
288,43947,3953.9884,1,online
289,43948,3756.989,1,online
290,43949,3953.9884,1,online
291,43950,3953.9884,1,online
292,43951,3953.9884,1,online
293,43952,3953.9884,1,online
294,43953,772.5036,1,online
295,43954,3953.9884,1,online
296,43955,3953.9884,1,online
297,43956,3756.989,1,online
298,43957,3953.9884,1,online
299,43958,3953.9884,1,online
300,43959,3729.364,1,online
301,43960,3729.364,1,online
302,43961,3953.9884,1,online
303,43962,3953.9884,1,online
304,43963,3953.9884,1,online
305,43964,3953.9884,1,online
306,43965,3729.364,1,online
307,43966,3756.989,1,online
308,43967,3953.9884,1,online
309,43968,3953.9884,1,online
310,43969,3953.9884,1,online
311,43970,3953.9884,1,online
312,43971,3953.9884,1,online
313,43972,3953.9884,1,online
314,43973,3953.9884,1,online
315,43974,3953.9884,1,online
316,43975,3953.9884,1,online
317,43976,3953.9884,1,online
318,43977,3953.9884,1,online
319,43978,3953.9884,1,online
320,43979,772.5036,1,online
321,43980,3729.364,1,online
322,43981,3953.9884,1,online
323,43982,772.5036,1,online
324,43983,3953.9884,1,online
325,43984,3953.9884,1,online
326,43985,3953.9884,1,online
327,43986,3953.9884,1,online
328,43987,3953.9884,1,online
329,43988,3756.989,1,online
330,43989,3953.9884,1,online
331,43990,3756.989,1,online
332,43991,3953.9884,1,online
333,43992,3953.9884,1,online
334,43993,3953.9884,1,online
335,43994,3953.9884,1,online
336,43995,3953.9884,1,online
337,43996,3953.9884,1,online
338,43997,3953.9884,1,online
339,43998,3729.364,1,online
340,43999,3953.9884,1,online
341,44000,3953.9884,1,online
342,44001,3953.9884,1,online
343,44002,772.5036,1,online
344,44003,772.5036,1,online
345,44004,3953.9884,1,online
346,44005,772.5036,1,online
347,44006,3953.9884,1,online
348,44007,772.5036,1,online
349,44008,3953.9884,1,online
350,44009,3953.9884,1,online
351,44010,3953.9884,1,online
352,44011,3953.9884,1,online
353,44012,3729.364,1,online
354,44013,3953.9884,1,online
355,44014,3953.9884,1,online
356,44015,3953.9884,1,online
357,44016,3729.364,1,online
358,44017,3953.9884,1,online
359,44018,3729.364,1,online
360,44019,3953.9884,1,online
361,44020,3953.9884,1,online
362,44021,3729.364,1,online
363,44022,3953.9884,1,online
364,44023,3729.364,1,online
365,44024,3953.9884,1,online
366,44025,3953.9884,1,online
367,44026,3953.9884,1,online
368,44027,3953.9884,1,online
369,44028,3953.9884,1,online
370,44029,3729.364,1,online
371,44030,3953.9884,1,online
372,44031,3953.9884,1,online
373,44032,3756.989,1,online
374,44033,3953.9884,1,online
375,44034,3953.9884,1,online
376,44035,3953.9884,1,online
377,44036,3953.9884,1,online
378,44037,772.5036,1,online
379,44038,3756.989,1,online
380,44039,772.5036,1,online
381,44040,3729.364,1,online
382,44041,3953.9884,1,online
383,44042,3953.9884,1,online
384,44043,3953.9884,1,online
385,44044,3953.9884,1,online
386,44045,3756.989,1,online
387,44046,3953.9884,1,online
388,44047,3756.989,1,online
389,44048,3953.9884,1,online
390,44049,3953.9884,1,online
391,44050,3953.9884,1,online
392,44051,3953.9884,1,online
393,44052,3953.9884,1,online
394,44053,772.5036,1,online
395,44054,3953.9884,1,online
396,44055,3953.9884,1,online
397,44056,3953.9884,1,online
398,44057,772.5036,1,online
399,44058,3729.364,1,online
400,44059,3953.9884,1,online
401,44060,772.5036,1,online
402,44061,3953.9884,1,online
403,44062,3953.9884,1,online
404,44063,3756.989,1,online
405,44064,3953.9884,1,online
406,44065,3953.9884,1,online
407,44066,3756.989,1,online
408,44067,3953.9884,1,online
409,44068,3953.9884,1,online
410,44069,3729.364,1,online
411,44070,3729.364,1,online
412,44071,3953.9884,1,online
413,44072,3953.9884,1,online
414,44073,3729.364,1,online
415,44074,950.3979,3,offline
416,44075,29779.1373,9,offline
417,44076,4594.0664,2,offline
418,44077,6872.9758,8,offline
419,44078,31591.9471,8,offline
420,44079,28945.1938,27,offline
421,44080,12.6968,1,offline
422,44081,42277.1383,16,offline
423,44082,2297.0332,1,offline
424,44083,1533.1237,4,offline
425,44084,9154.353,2,offline
426,44085,23244.6509,21,offline
427,44086,83091.6136,21,offline
428,44087,5641.191,2,offline
429,44088,472.3108,1,offline
430,44089,2361.5536,3,offline
431,44090,7487.8626,13,offline
432,44091,5055.9137,7,offline
433,44092,4592.0219,8,offline
434,44093,12021.9591,19,offline
435,44094,4594.0664,1,offline
436,44095,47689.0046,9,offline
437,44096,9154.353,2,offline
438,44097,6796.0326,12,offline
439,44098,18431.4595,6,offline
440,44099,14074.0241,6,offline
441,44100,91512.8507,21,offline
442,44101,11030.0547,4,offline
443,44102,3955.642,5,offline
444,44103,4294.4704,5,offline
445,44104,4594.0664,2,offline
446,44105,6870.0165,4,offline
447,44106,472.3108,1,offline
448,44107,18226.9096,21,offline
449,44108,2442.3468,2,offline
450,44109,15582.1001,15,offline
451,44110,18768.2086,22,offline
452,44111,13108.5134,19,offline
453,44112,36532.9619,5,offline
454,44113,45621.2458,15,offline
455,44114,37706.6125,22,offline
456,44115,75293.7194,19,offline
457,44116,22915.4692,6,offline
458,44117,14537.294,16,offline
459,44118,3859.279,3,offline
460,44119,55277.8557,11,offline
461,44120,30375.6923,15,offline
462,44121,72894.3213,14,offline
463,44122,4577.1764,2,offline
464,44123,985.018,1,offline
465,44124,17387.3963,21,offline
466,44125,2931.9869,3,offline
467,44126,16060.3046,7,offline
468,44127,102525.9874,22,offline
469,44128,20874.6359,11,offline
470,44129,62725.3407,30,offline
471,44130,39881.9747,9,offline
472,44131,23095.3463,10,offline
473,44132,4560.2864,1,offline
474,44133,28927.0463,17,offline
475,44134,3953.9884,1,online
476,44135,3953.9884,1,online
477,44136,3953.9884,1,online
478,44137,3953.9884,1,online
479,44138,3953.9884,1,online
480,44139,3953.9884,1,online
481,44140,3953.9884,1,online
482,44141,3953.9884,1,online
483,44142,3953.9884,1,online
484,44143,3953.9884,1,online
485,44144,3953.9884,1,online
486,44145,3953.9884,1,online
487,44146,3953.9884,1,online
488,44147,3953.9884,1,online
489,44148,3953.9884,1,online
490,44149,3953.9884,1,online
491,44150,3953.9884,1,online
492,44151,772.5036,1,online
493,44152,3756.989,1,online
494,44153,3953.9884,1,online
495,44154,3953.9884,1,online
496,44155,3953.9884,1,online
497,44156,3756.989,1,online
498,44157,3953.9884,1,online
499,44158,3953.9884,1,online
500,44159,3953.9884,1,online
501,44160,3953.9884,1,online
502,44161,3953.9884,1,online
503,44162,3953.9884,1,online
504,44163,3953.9884,1,online
505,44164,3953.9884,1,online
506,44165,3953.9884,1,online
507,44166,772.5036,1,online
508,44167,3953.9884,1,online
509,44168,3953.9884,1,online
510,44169,3953.9884,1,online
511,44170,3953.9884,1,online
512,44171,3953.9884,1,online
513,44172,772.5036,1,online
514,44173,3953.9884,1,online
515,44174,3953.9884,1,online
516,44175,3953.9884,1,online
517,44176,3953.9884,1,online
518,44177,3729.364,1,online
519,44178,3953.9884,1,online
520,44179,3729.364,1,online
521,44180,3756.989,1,online
522,44181,3953.9884,1,online
523,44182,3953.9884,1,online
524,44183,3953.9884,1,online
525,44184,3953.9884,1,online
526,44185,3953.9884,1,online
527,44186,3756.989,1,online
528,44187,3953.9884,1,online
529,44188,772.5036,1,online
530,44189,772.5036,1,online
531,44190,3729.364,1,online
532,44191,3953.9884,1,online
533,44192,3953.9884,1,online
534,44193,3953.9884,1,online
535,44194,3953.9884,1,online
536,44195,3953.9884,1,online
537,44196,3953.9884,1,online
538,44197,3953.9884,1,online
539,44198,3953.9884,1,online
540,44199,3953.9884,1,online
541,44200,3953.9884,1,online
542,44201,3953.9884,1,online
543,44202,3953.9884,1,online
544,44203,3953.9884,1,online
545,44204,772.5036,1,online
546,44205,3953.9884,1,online
547,44206,3756.989,1,online
548,44207,3953.9884,1,online
549,44208,3756.989,1,online
550,44209,3953.9884,1,online
551,44210,3953.9884,1,online
552,44211,3953.9884,1,online
553,44212,3953.9884,1,online
554,44213,3953.9884,1,online
555,44214,3953.9884,1,online
556,44215,3953.9884,1,online
557,44216,3953.9884,1,online
558,44217,3953.9884,1,online
559,44218,3953.9884,1,online
560,44219,772.5036,1,online
561,44220,3756.989,1,online
562,44221,3953.9884,1,online
563,44222,3953.9884,1,online
564,44223,3953.9884,1,online
565,44224,3953.9884,1,online
566,44225,772.5036,1,online
567,44226,3953.9884,1,online
568,44227,3729.364,1,online
569,44228,3756.989,1,online
570,44229,3756.989,1,online
571,44230,3953.9884,1,online
572,44231,772.5036,1,online
573,44232,3953.9884,1,online
574,44233,3953.9884,1,online
575,44234,3953.9884,1,online
576,44235,3953.9884,1,online
577,44236,3953.9884,1,online
578,44237,3953.9884,1,online
579,44238,3953.9884,1,online
580,44239,3953.9884,1,online
581,44240,3953.9884,1,online
582,44241,3953.9884,1,online
583,44242,3953.9884,1,online
584,44243,3953.9884,1,online
585,44244,3953.9884,1,online
586,44245,772.5036,1,online
587,44246,3953.9884,1,online
588,44247,3953.9884,1,online
589,44248,3953.9884,1,online
590,44249,3953.9884,1,online
591,44250,3953.9884,1,online
592,44251,3953.9884,1,online
593,44252,3953.9884,1,online
594,44253,3953.9884,1,online
595,44254,3953.9884,1,online
596,44255,772.5036,1,online
597,44256,3953.9884,1,online
598,44257,3953.9884,1,online
599,44258,3953.9884,1,online
600,44259,3953.9884,1,online
601,44260,3953.9884,1,online
602,44261,3953.9884,1,online
603,44262,772.5036,1,online
604,44263,3953.9884,1,online
605,44264,3953.9884,1,online
606,44265,772.5036,1,online
607,44266,772.5036,1,online
608,44267,772.5036,1,online
609,44268,3953.9884,1,online
610,44269,772.5036,1,online
611,44270,3953.9884,1,online
612,44271,3953.9884,1,online
613,44272,3953.9884,1,online
614,44273,3953.9884,1,online
615,44274,3953.9884,1,online
616,44275,3953.9884,1,online
617,44276,3953.9884,1,online
618,44277,3953.9884,1,online
619,44278,3953.9884,1,online
620,44279,3953.9884,1,online
621,44280,64.242,1,offline
622,44281,472.3108,1,offline
623,44282,45433.9629,15,offline
624,44283,49297.608,27,offline
625,44284,98932.197,16,offline
626,44285,65037.6996,13,offline
627,44286,6236.3616,6,offline
628,44287,18344.6411,5,offline
629,44288,49346.3436,34,offline
630,44289,4596.2216,3,offline
631,44290,4331.5897,4,offline
632,44291,5093.9316,2,offline
633,44292,3865.0555,4,offline
634,44293,27005.1224,25,offline
635,44294,69900.1415,11,offline
636,44295,10668.6138,9,offline
637,44296,36463.5495,26,offline
638,44297,11519.8817,8,offline
639,44298,31153.3874,27,offline
640,44299,35609.3132,27,offline
641,44300,8785.1473,10,offline
642,44301,33197.1756,27,offline
643,44302,2417.4793,1,offline
644,44303,6.3484,1,offline
645,44304,42234.8895,9,offline
646,44305,21262.657,15,offline
647,44306,20995.4191,20,offline
648,44307,8733.976,9,offline
649,44308,13928.5021,9,offline
650,44309,31091.8093,18,offline
651,44310,207.7582,1,offline
652,44311,8279.3334,7,offline
653,44312,2361.5536,4,offline
654,44313,29323.3854,22,offline
655,44314,47410.6684,23,offline
656,44315,2923.7113,5,offline
657,44316,4262.3494,6,offline
658,44317,38199.897,28,offline
659,44318,23749.8917,6,offline
660,44319,38566.9973,14,offline
661,44320,3953.9884,1,online
662,44321,3953.9884,1,online
663,44322,772.5036,1,online
664,44323,3756.989,1,online
665,44324,3953.9884,1,online
666,44325,3729.364,1,online
667,44326,3953.9884,1,online
668,44327,3953.9884,1,online
669,44328,3953.9884,1,online
670,44329,3953.9884,1,online
671,44330,3953.9884,1,online
672,44331,3953.9884,1,online
673,44332,3953.9884,1,online
674,44333,3756.989,1,online
675,44334,3953.9884,1,online
676,44335,772.5036,1,online
677,44336,3756.989,1,online
678,44337,3729.364,1,online
679,44338,3953.9884,1,online
680,44339,3953.9884,1,online
681,44340,3953.9884,1,online
682,44341,3729.364,1,online
683,44342,772.5036,1,online
684,44343,3953.9884,1,online
685,44344,3953.9884,1,online
686,44345,3953.9884,1,online
687,44346,772.5036,1,online
688,44347,3953.9884,1,online
689,44348,3953.9884,1,online
690,44349,3953.9884,1,online
691,44350,3953.9884,1,online
692,44351,3953.9884,1,online
693,44352,3953.9884,1,online
694,44353,772.5036,1,online
695,44354,772.5036,1,online
696,44355,3756.989,1,online
697,44356,3756.989,1,online
698,44357,3953.9884,1,online
699,44358,3953.9884,1,online
700,44359,3953.9884,1,online
701,44360,3953.9884,1,online
702,44361,3953.9884,1,online
703,44362,3953.9884,1,online
704,44363,3953.9884,1,online
705,44364,3729.364,1,online
706,44365,3953.9884,1,online
707,44366,3953.9884,1,online
708,44367,772.5036,1,online
709,44368,3953.9884,1,online
710,44369,3953.9884,1,online
711,44370,3953.9884,1,online
712,44371,3953.9884,1,online
713,44372,3953.9884,1,online
714,44373,3953.9884,1,online
715,44374,3953.9884,1,online
716,44375,3953.9884,1,online
717,44376,3729.364,1,online
718,44377,3953.9884,1,online
719,44378,3729.364,1,online
720,44379,3729.364,1,online
721,44380,3953.9884,1,online
722,44381,3953.9884,1,online
723,44382,3756.989,1,online
724,44383,3953.9884,1,online
725,44384,3953.9884,1,online
726,44385,3953.9884,1,online
727,44386,3953.9884,1,online
728,44387,3729.364,1,online
729,44388,3953.9884,1,online
730,44389,3953.9884,1,online
731,44390,3953.9884,1,online
732,44391,3953.9884,1,online
733,44392,3953.9884,1,online
734,44393,3756.989,1,online
735,44394,3953.9884,1,online
736,44395,3953.9884,1,online
737,44396,3756.989,1,online
738,44397,772.5036,1,online
739,44398,3953.9884,1,online
740,44399,3953.9884,1,online
741,44400,3953.9884,1,online
742,44401,3953.9884,1,online
743,44402,3953.9884,1,online
744,44403,3729.364,1,online
745,44404,3953.9884,1,online
746,44405,3953.9884,1,online
747,44406,3953.9884,1,online
748,44407,3729.364,1,online
749,44408,3729.364,1,online
750,44409,772.5036,1,online
751,44410,3953.9884,1,online
752,44411,3953.9884,1,online
753,44412,3729.364,1,online
754,44413,3953.9884,1,online
755,44414,3953.9884,1,online
756,44415,3953.9884,1,online
757,44416,3756.989,1,online
758,44417,3953.9884,1,online
759,44418,3953.9884,1,online
760,44419,3953.9884,1,online
761,44420,3953.9884,1,online
762,44421,3953.9884,1,online
763,44422,772.5036,1,online
764,44423,3953.9884,1,online
765,44424,3953.9884,1,online
766,44425,3953.9884,1,online
767,44426,3953.9884,1,online
768,44427,3953.9884,1,online
769,44428,3953.9884,1,online
770,44429,3953.9884,1,online
771,44430,3953.9884,1,online
772,44431,3953.9884,1,online
773,44432,3953.9884,1,online
774,44433,3953.9884,1,online
775,44434,3953.9884,1,online
776,44435,3953.9884,1,online
777,44436,772.5036,1,online
778,44437,3756.989,1,online
779,44438,3953.9884,1,online
780,44439,3953.9884,1,online
781,44440,3953.9884,1,online
782,44441,3953.9884,1,online
783,44442,772.5036,1,online
784,44443,3953.9884,1,online
785,44444,3953.9884,1,online
786,44445,3953.9884,1,online
787,44446,3953.9884,1,online
788,44447,3953.9884,1,online
789,44448,3953.9884,1,online
790,44449,3953.9884,1,online
791,44450,3953.9884,1,online
792,44451,3953.9884,1,online
793,44452,772.5036,1,online
794,44453,3953.9884,1,online
795,44454,3953.9884,1,online
796,44455,3953.9884,1,online
797,44456,772.5036,1,online
798,44457,3953.9884,1,online
799,44458,3953.9884,1,online
800,44459,3953.9884,1,online
801,44460,772.5036,1,online
802,44461,3953.9884,1,online
803,44462,3953.9884,1,online
804,44463,772.5036,1,online
805,44464,3953.9884,1,online
806,44465,772.5036,1,online
807,44466,772.5036,1,online
808,44467,3756.989,1,online
809,44468,3729.364,1,online
810,44469,3953.9884,1,online
811,44470,3953.9884,1,online
812,44471,772.5036,1,online
813,44472,3953.9884,1,online
814,44473,3953.9884,1,online
815,44474,772.5036,1,online
816,44475,3756.989,1,online
817,44476,3953.9884,1,online
818,44477,3953.9884,1,online
819,44478,3953.9884,1,online
820,44479,3729.364,1,online
821,44480,3729.364,1,online
822,44481,29689.3502,7,offline
823,44482,472.3108,1,offline
824,44483,3398.5212,4,offline
825,44484,9215.6816,5,offline
826,44485,4560.2864,1,offline
827,44486,680.0689,2,offline
828,44487,47155.5779,8,offline
829,44488,36996.9047,27,offline
830,44489,11583.9419,5,offline
831,44490,3816.3832,7,offline
832,44491,3859.279,4,offline
833,44492,75971.892,19,offline
834,44493,7290.6993,9,offline
835,44494,32153.46,26,offline
836,44495,4589.8732,3,offline
837,44496,33552.2466,19,offline
838,44497,1347.7377,2,offline
839,44498,17380.5563,15,offline
840,44499,13704.0978,4,offline
841,44500,5303.3339,6,offline
842,44501,22152.2446,20,offline
843,44502,20128.9083,14,offline
844,44503,3410.0741,4,offline
845,44504,22503.6752,27,offline
846,44505,39393.3135,8,offline
847,44506,40145.6114,30,offline
848,44507,44212.6089,13,offline
849,44508,4723.1073,4,offline
850,44509,49116.1883,32,offline
851,44510,1970.036,1,offline
852,44511,11440.2727,5,offline
853,44512,1889.2429,2,offline
854,44513,49012.5587,16,offline
855,44514,47939.4352,11,offline
856,44515,6183.7133,7,offline
857,44516,472.3108,1,offline
858,44517,28042.2034,27,offline
859,44518,142312.2199,20,offline
860,44519,2417.4793,1,offline
861,44520,64981.7034,34,offline
862,44521,29406.5783,26,offline
863,44522,29448.5055,22,offline
864,44523,83772.7786,17,offline
865,44524,4596.2216,3,offline
866,44525,46666.5213,27,offline
867,44526,18589.0781,13,offline
868,44527,6899.6033,5,offline
869,44528,122500.6617,12,offline
870,44529,472.3108,1,offline
871,44530,118206.3408,22,offline
872,44531,25701.7581,20,offline
873,44532,2417.4793,1,offline
874,44533,21954.2042,20,offline
875,44534,96937.2022,13,offline
876,44535,26567.7564,14,offline
877,44536,816.1709,1,offline
878,44537,64.242,1,offline
879,44538,65105.6812,35,offline
880,44539,1638.6903,2,offline
881,44540,43514.8419,16,offline
882,44541,57231.0827,10,offline
883,44542,18308.0583,7,offline
884,44543,415.5164,2,offline
885,44544,23626.2532,14,offline
886,44545,11097.2506,8,offline
887,44546,1970.036,1,offline
888,44547,77692.7415,29,offline
889,44548,472.3108,1,offline
890,44549,55212.4098,12,offline
891,44550,32294.6471,21,offline
892,44551,46267.7358,15,offline
893,44552,110276.574,19,offline
894,44553,6840.4298,1,offline
895,44554,816.1709,1,offline
896,44555,33893.4937,22,offline
897,44556,34445.2611,16,offline
898,44557,31670.3289,21,offline
899,44558,944.6214,1,offline
900,44559,19650.9027,20,offline
901,44560,1057.9537,2,offline
902,44561,47348.815,10,offline
903,44562,21668.8078,18,offline
904,44563,53733.7469,28,offline
905,44564,38899.0578,24,offline
906,44565,2434.0712,4,offline
907,44566,43136.7848,15,offline
908,44567,52872.0292,12,offline
909,44568,2546.9658,3,offline
910,44569,34509.5571,15,offline
911,44570,65872.3967,32,offline
912,44571,3756.989,1,online
913,44572,3953.9884,1,online
914,44573,3756.989,1,online
915,44574,3729.364,1,online
916,44575,3756.989,1,online
917,44576,3953.9884,1,online
918,44577,3953.9884,1,online
919,44578,3953.9884,1,online
920,44579,3953.9884,1,online
921,44580,3953.9884,1,online
922,44581,3729.364,1,online
923,44582,3756.989,1,online
