,SalesOrderID,OrderDate,ShipDate
126,43785,2011-06-21,2011-06-28
127,43786,2011-06-21,2011-06-28
128,43787,2011-06-21,2011-06-28
129,43788,2011-06-21,2011-06-28
130,43789,2011-06-21,2011-06-28
131,43790,2011-06-21,2011-06-28
132,43791,2011-06-21,2011-06-28
133,43792,2011-06-21,2011-06-28
134,43793,2011-06-21,2011-06-28
135,43794,2011-06-21,2011-06-28
136,43795,2011-06-22,2011-06-29
137,43796,2011-06-22,2011-06-29
138,43797,2011-06-22,2011-06-29
139,43798,2011-06-22,2011-06-29
140,43799,2011-06-22,2011-06-29
141,43800,2011-06-23,2011-06-30
142,43801,2011-06-23,2011-06-30
143,43802,2011-06-23,2011-06-30
144,43803,2011-06-24,2011-07-01
145,43804,2011-06-24,2011-07-01
146,43805,2011-06-24,2011-07-01
147,43806,2011-06-24,2011-07-01
148,43807,2011-06-25,2011-07-02
149,43808,2011-06-25,2011-07-02
150,43809,2011-06-25,2011-07-02
151,43810,2011-06-25,2011-07-02
152,43811,2011-06-25,2011-07-02
153,43812,2011-06-26,2011-07-03
154,43813,2011-06-26,2011-07-03
155,43814,2011-06-26,2011-07-03
156,43815,2011-06-26,2011-07-03
157,43816,2011-06-26,2011-07-03
158,43817,2011-06-26,2011-07-03
159,43818,2011-06-26,2011-07-03
160,43819,2011-06-26,2011-07-03
161,43820,2011-06-27,2011-07-04
162,43821,2011-06-27,2011-07-04
163,43822,2011-06-27,2011-07-04
164,43823,2011-06-27,2011-07-04
165,43824,2011-06-27,2011-07-04
166,43825,2011-06-27,2011-07-04
167,43826,2011-06-27,2011-07-04
168,43827,2011-06-27,2011-07-04
169,43828,2011-06-28,2011-07-05
170,43829,2011-06-28,2011-07-05
171,43830,2011-06-28,2011-07-05
172,43831,2011-06-28,2011-07-05
173,43832,2011-06-28,2011-07-05
174,43833,2011-06-29,2011-07-06
175,43834,2011-06-29,2011-07-06
176,43835,2011-06-29,2011-07-06
177,43836,2011-06-29,2011-07-06
178,43837,2011-06-29,2011-07-06
179,43838,2011-06-30,2011-07-07
180,43839,2011-06-30,2011-07-07
181,43840,2011-06-30,2011-07-07
182,43841,2011-06-30,2011-07-07
183,43842,2011-06-30,2011-07-07
184,43843,2011-07-01,2011-07-08
185,43844,2011-07-01,2011-07-08
186,43845,2011-07-01,2011-07-08
187,43846,2011-07-01,2011-07-08
188,43847,2011-07-01,2011-07-08
189,43848,2011-07-01,2011-07-08
190,43849,2011-07-01,2011-07-08
191,43850,2011-07-01,2011-07-08
192,43851,2011-07-01,2011-07-08
193,43852,2011-07-01,2011-07-08
194,43853,2011-07-01,2011-07-08
195,43854,2011-07-01,2011-07-08
196,43855,2011-07-01,2011-07-08
197,43856,2011-07-01,2011-07-08
198,43857,2011-07-01,2011-07-08
199,43858,2011-07-01,2011-07-08
200,43859,2011-07-01,2011-07-08
201,43860,2011-07-01,2011-07-08
202,43861,2011-07-01,2011-07-08
203,43862,2011-07-01,2011-07-08
204,43863,2011-07-01,2011-07-08
205,43864,2011-07-01,2011-07-08
206,43865,2011-07-01,2011-07-08
207,43866,2011-07-01,2011-07-08
208,43867,2011-07-01,2011-07-08
209,43868,2011-07-01,2011-07-08
210,43869,2011-07-01,2011-07-08
211,43870,2011-07-01,2011-07-08
212,43871,2011-07-01,2011-07-08
213,43872,2011-07-01,2011-07-08
214,43873,2011-07-01,2011-07-08
215,43874,2011-07-01,2011-07-08
216,43875,2011-07-01,2011-07-08
217,43876,2011-07-01,2011-07-08
218,43877,2011-07-01,2011-07-08
219,43878,2011-07-01,2011-07-08
220,43879,2011-07-01,2011-07-08
221,43880,2011-07-01,2011-07-08
222,43881,2011-07-01,2011-07-08
223,43882,2011-07-01,2011-07-08
224,43883,2011-07-01,2011-07-08
225,43884,2011-07-01,2011-07-08
226,43885,2011-07-01,2011-07-08
227,43886,2011-07-01,2011-07-08
228,43887,2011-07-01,2011-07-08
229,43888,2011-07-01,2011-07-08
230,43889,2011-07-01,2011-07-08
231,43890,2011-07-01,2011-07-08
232,43891,2011-07-01,2011-07-08
233,43892,2011-07-01,2011-07-08
234,43893,2011-07-01,2011-07-08
235,43894,2011-07-01,2011-07-08
236,43895,2011-07-01,2011-07-08
237,43896,2011-07-01,2011-07-08
238,43897,2011-07-01,2011-07-08
239,43898,2011-07-01,2011-07-08
240,43899,2011-07-01,2011-07-08
241,43900,2011-07-01,2011-07-08
242,43901,2011-07-01,2011-07-08
243,43902,2011-07-01,2011-07-08
244,43903,2011-07-01,2011-07-08
245,43904,2011-07-01,2011-07-08
246,43905,2011-07-01,2011-07-08
247,43906,2011-07-01,2011-07-08
248,43907,2011-07-01,2011-07-08
249,43908,2011-07-01,2011-07-08
250,43909,2011-07-01,2011-07-08
251,43910,2011-07-01,2011-07-08
252,43911,2011-07-01,2011-07-08
253,43912,2011-07-01,2011-07-08
254,43913,2011-07-01,2011-07-08
255,43914,2011-07-01,2011-07-08
256,43915,2011-07-01,2011-07-08
257,43916,2011-07-01,2011-07-08
258,43917,2011-07-01,2011-07-08
259,43918,2011-07-01,2011-07-08
260,43919,2011-07-01,2011-07-08
261,43920,2011-07-01,2011-07-08
262,43921,2011-07-01,2011-07-08
263,43922,2011-07-01,2011-07-08
264,43923,2011-07-02,2011-07-09
265,43924,2011-07-02,2011-07-09
266,43925,2011-07-02,2011-07-09
267,43926,2011-07-03,2011-07-10
268,43927,2011-07-03,2011-07-10
269,43928,2011-07-03,2011-07-10
270,43929,2011-07-03,2011-07-10
271,43930,2011-07-04,2011-07-11
272,43931,2011-07-04,2011-07-11
273,43932,2011-07-04,2011-07-11
274,43933,2011-07-04,2011-07-11
275,43934,2011-07-04,2011-07-11
276,43935,2011-07-05,2011-07-12
277,43936,2011-07-05,2011-07-12
278,43937,2011-07-05,2011-07-12
279,43938,2011-07-05,2011-07-12
280,43939,2011-07-05,2011-07-12
281,43940,2011-07-05,2011-07-12
282,43941,2011-07-06,2011-07-13
283,43942,2011-07-06,2011-07-13
284,43943,2011-07-06,2011-07-13
285,43944,2011-07-06,2011-07-13
286,43945,2011-07-06,2011-07-13
287,43946,2011-07-06,2011-07-13
288,43947,2011-07-06,2011-07-13
289,43948,2011-07-06,2011-07-13
290,43949,2011-07-07,2011-07-14
291,43950,2011-07-07,2011-07-14
292,43951,2011-07-07,2011-07-14
293,43952,2011-07-07,2011-07-14
294,43953,2011-07-08,2011-07-15
295,43954,2011-07-08,2011-07-15
296,43955,2011-07-08,2011-07-15
297,43956,2011-07-08,2011-07-15
298,43957,2011-07-09,2011-07-16
299,43958,2011-07-09,2011-07-16
300,43959,2011-07-09,2011-07-16
301,43960,2011-07-09,2011-07-16
302,43961,2011-07-10,2011-07-17
303,43962,2011-07-10,2011-07-17
304,43963,2011-07-10,2011-07-17
305,43964,2011-07-10,2011-07-17
306,43965,2011-07-10,2011-07-17
307,43966,2011-07-10,2011-07-17
308,43967,2011-07-11,2011-07-18
309,43968,2011-07-11,2011-07-18
310,43969,2011-07-11,2011-07-18
311,43970,2011-07-11,2011-07-18
312,43971,2011-07-11,2011-07-18
313,43972,2011-07-12,2011-07-19
314,43973,2011-07-12,2011-07-19
315,43974,2011-07-12,2011-07-19
316,43975,2011-07-12,2011-07-19
317,43976,2011-07-12,2011-07-19
318,43977,2011-07-12,2011-07-19
319,43978,2011-07-13,2011-07-20
320,43979,2011-07-13,2011-07-20
321,43980,2011-07-13,2011-07-20
322,43981,2011-07-13,2011-07-20
323,43982,2011-07-13,2011-07-20
324,43983,2011-07-14,2011-07-21
325,43984,2011-07-14,2011-07-21
326,43985,2011-07-14,2011-07-21
327,43986,2011-07-14,2011-07-21
328,43987,2011-07-15,2011-07-22
329,43988,2011-07-15,2011-07-22
330,43989,2011-07-15,2011-07-22
331,43990,2011-07-15,2011-07-22
332,43991,2011-07-15,2011-07-22
333,43992,2011-07-15,2011-07-22
334,43993,2011-07-17,2011-07-24
335,43994,2011-07-18,2011-07-25
336,43995,2011-07-18,2011-07-25
337,43996,2011-07-18,2011-07-25
338,43997,2011-07-18,2011-07-25
339,43998,2011-07-18,2011-07-25
340,43999,2011-07-18,2011-07-25
341,44000,2011-07-19,2011-07-26
342,44001,2011-07-19,2011-07-26
343,44002,2011-07-19,2011-07-26
344,44003,2011-07-19,2011-07-26
345,44004,2011-07-19,2011-07-26
346,44005,2011-07-19,2011-07-26
347,44006,2011-07-19,2011-07-26
348,44007,2011-07-19,2011-07-26
349,44008,2011-07-20,2011-07-27
350,44009,2011-07-20,2011-07-27
351,44010,2011-07-20,2011-07-27
352,44011,2011-07-20,2011-07-27
353,44012,2011-07-20,2011-07-27
354,44013,2011-07-20,2011-07-27
355,44014,2011-07-21,2011-07-28
356,44015,2011-07-21,2011-07-28
357,44016,2011-07-21,2011-07-28
358,44017,2011-07-21,2011-07-28
359,44018,2011-07-21,2011-07-28
360,44019,2011-07-21,2011-07-28
361,44020,2011-07-21,2011-07-28
362,44021,2011-07-21,2011-07-28
363,44022,2011-07-22,2011-07-29
364,44023,2011-07-22,2011-07-29
365,44024,2011-07-22,2011-07-29
366,44025,2011-07-22,2011-07-29
367,44026,2011-07-22,2011-07-29
368,44027,2011-07-23,2011-07-30
369,44028,2011-07-23,2011-07-30
370,44029,2011-07-23,2011-07-30
371,44030,2011-07-24,2011-07-31
372,44031,2011-07-24,2011-07-31
373,44032,2011-07-24,2011-07-31
374,44033,2011-07-24,2011-07-31
375,44034,2011-07-24,2011-07-31
376,44035,2011-07-24,2011-07-31
377,44036,2011-07-24,2011-07-31
378,44037,2011-07-24,2011-07-31
379,44038,2011-07-24,2011-07-31
380,44039,2011-07-25,2011-08-01
381,44040,2011-07-25,2011-08-01
382,44041,2011-07-25,2011-08-01
383,44042,2011-07-26,2011-08-02
384,44043,2011-07-26,2011-08-02
385,44044,2011-07-26,2011-08-02
386,44045,2011-07-26,2011-08-02
387,44046,2011-07-26,2011-08-02
388,44047,2011-07-26,2011-08-02
389,44048,2011-07-26,2011-08-02
390,44049,2011-07-27,2011-08-03
391,44050,2011-07-27,2011-08-03
392,44051,2011-07-28,2011-08-04
393,44052,2011-07-28,2011-08-04
394,44053,2011-07-29,2011-08-05
395,44054,2011-07-29,2011-08-05
396,44055,2011-07-29,2011-08-05
397,44056,2011-07-29,2011-08-05
398,44057,2011-07-29,2011-08-05
399,44058,2011-07-29,2011-08-05
400,44059,2011-07-29,2011-08-05
401,44060,2011-07-29,2011-08-05
402,44061,2011-07-30,2011-08-06
403,44062,2011-07-30,2011-08-06
404,44063,2011-07-30,2011-08-06
405,44064,2011-07-30,2011-08-06
406,44065,2011-07-30,2011-08-06
407,44066,2011-07-30,2011-08-06
408,44067,2011-07-30,2011-08-06
409,44068,2011-07-31,2011-08-07
410,44069,2011-07-31,2011-08-07
411,44070,2011-07-31,2011-08-07
412,44071,2011-07-31,2011-08-07
413,44072,2011-07-31,2011-08-07
414,44073,2011-07-31,2011-08-07
415,44074,2011-08-01,2011-08-08
416,44075,2011-08-01,2011-08-08
417,44076,2011-08-01,2011-08-08
418,44077,2011-08-01,2011-08-08
419,44078,2011-08-01,2011-08-08
420,44079,2011-08-01,2011-08-08
421,44080,2011-08-01,2011-08-08
422,44081,2011-08-01,2011-08-08
423,44082,2011-08-01,2011-08-08
424,44083,2011-08-01,2011-08-08
425,44084,2011-08-01,2011-08-08
426,44085,2011-08-01,2011-08-08
427,44086,2011-08-01,2011-08-08
428,44087,2011-08-01,2011-08-08
429,44088,2011-08-01,2011-08-08
430,44089,2011-08-01,2011-08-08
431,44090,2011-08-01,2011-08-08
432,44091,2011-08-01,2011-08-08
433,44092,2011-08-01,2011-08-08
434,44093,2011-08-01,2011-08-08
435,44094,2011-08-01,2011-08-08
436,44095,2011-08-01,2011-08-08
437,44096,2011-08-01,2011-08-08
438,44097,2011-08-01,2011-08-08
439,44098,2011-08-01,2011-08-08
440,44099,2011-08-01,2011-08-08
441,44100,2011-08-01,2011-08-08
442,44101,2011-08-01,2011-08-08
443,44102,2011-08-01,2011-08-08
444,44103,2011-08-01,2011-08-08
445,44104,2011-08-01,2011-08-08
446,44105,2011-08-01,2011-08-08
447,44106,2011-08-01,2011-08-08
448,44107,2011-08-01,2011-08-08
449,44108,2011-08-01,2011-08-08
450,44109,2011-08-01,2011-08-08
451,44110,2011-08-01,2011-08-08
452,44111,2011-08-01,2011-08-08
453,44112,2011-08-01,2011-08-08
454,44113,2011-08-01,2011-08-08
455,44114,2011-08-01,2011-08-08
456,44115,2011-08-01,2011-08-08
457,44116,2011-08-01,2011-08-08
458,44117,2011-08-01,2011-08-08
459,44118,2011-08-01,2011-08-08
460,44119,2011-08-01,2011-08-08
461,44120,2011-08-01,2011-08-08
462,44121,2011-08-01,2011-08-08
463,44122,2011-08-01,2011-08-08
464,44123,2011-08-01,2011-08-08
465,44124,2011-08-01,2011-08-08
466,44125,2011-08-01,2011-08-08
467,44126,2011-08-01,2011-08-08
468,44127,2011-08-01,2011-08-08
469,44128,2011-08-01,2011-08-08
470,44129,2011-08-01,2011-08-08
471,44130,2011-08-01,2011-08-08
472,44131,2011-08-01,2011-08-08
473,44132,2011-08-01,2011-08-08
474,44133,2011-08-01,2011-08-08
475,44134,2011-08-01,2011-08-08
476,44135,2011-08-01,2011-08-08
477,44136,2011-08-01,2011-08-08
478,44137,2011-08-01,2011-08-08
479,44138,2011-08-02,2011-08-09
480,44139,2011-08-02,2011-08-09
481,44140,2011-08-02,2011-08-09
482,44141,2011-08-02,2011-08-09
483,44142,2011-08-02,2011-08-09
484,44143,2011-08-02,2011-08-09
485,44144,2011-08-02,2011-08-09
486,44145,2011-08-02,2011-08-09
487,44146,2011-08-02,2011-08-09
488,44147,2011-08-02,2011-08-09
489,44148,2011-08-03,2011-08-10
490,44149,2011-08-03,2011-08-10
491,44150,2011-08-03,2011-08-10
492,44151,2011-08-03,2011-08-10
493,44152,2011-08-04,2011-08-11
494,44153,2011-08-04,2011-08-11
495,44154,2011-08-04,2011-08-11
496,44155,2011-08-04,2011-08-11
497,44156,2011-08-04,2011-08-11
498,44157,2011-08-04,2011-08-11
499,44158,2011-08-05,2011-08-12
500,44159,2011-08-05,2011-08-12
501,44160,2011-08-05,2011-08-12
502,44161,2011-08-06,2011-08-13
503,44162,2011-08-06,2011-08-13
504,44163,2011-08-06,2011-08-13
505,44164,2011-08-06,2011-08-13
506,44165,2011-08-06,2011-08-13
507,44166,2011-08-06,2011-08-13
508,44167,2011-08-06,2011-08-13
509,44168,2011-08-07,2011-08-14
510,44169,2011-08-07,2011-08-14
511,44170,2011-08-07,2011-08-14
512,44171,2011-08-07,2011-08-14
513,44172,2011-08-07,2011-08-14
514,44173,2011-08-08,2011-08-15
515,44174,2011-08-08,2011-08-15
516,44175,2011-08-08,2011-08-15
517,44176,2011-08-09,2011-08-16
518,44177,2011-08-09,2011-08-16
519,44178,2011-08-09,2011-08-16
520,44179,2011-08-09,2011-08-16
521,44180,2011-08-09,2011-08-16
522,44181,2011-08-09,2011-08-16
523,44182,2011-08-09,2011-08-16
524,44183,2011-08-10,2011-08-17
525,44184,2011-08-10,2011-08-17
526,44185,2011-08-10,2011-08-17
527,44186,2011-08-12,2011-08-19
528,44187,2011-08-12,2011-08-19
529,44188,2011-08-13,2011-08-20
530,44189,2011-08-13,2011-08-20
531,44190,2011-08-13,2011-08-20
532,44191,2011-08-13,2011-08-20
533,44192,2011-08-14,2011-08-21
534,44193,2011-08-14,2011-08-21
535,44194,2011-08-14,2011-08-21
536,44195,2011-08-14,2011-08-21
537,44196,2011-08-14,2011-08-21
538,44197,2011-08-15,2011-08-22
539,44198,2011-08-15,2011-08-22
540,44199,2011-08-15,2011-08-22
541,44200,2011-08-15,2011-08-22
542,44201,2011-08-16,2011-08-23
543,44202,2011-08-16,2011-08-23
544,44203,2011-08-16,2011-08-23
545,44204,2011-08-16,2011-08-23
546,44205,2011-08-16,2011-08-23
547,44206,2011-08-17,2011-08-24
548,44207,2011-08-17,2011-08-24
549,44208,2011-08-17,2011-08-24
550,44209,2011-08-17,2011-08-24
551,44210,2011-08-18,2011-08-25
552,44211,2011-08-18,2011-08-25
553,44212,2011-08-18,2011-08-25
554,44213,2011-08-18,2011-08-25
555,44214,2011-08-18,2011-08-25
556,44215,2011-08-19,2011-08-26
557,44216,2011-08-19,2011-08-26
558,44217,2011-08-19,2011-08-26
559,44218,2011-08-19,2011-08-26
560,44219,2011-08-19,2011-08-26
561,44220,2011-08-19,2011-08-26
562,44221,2011-08-19,2011-08-26
563,44222,2011-08-19,2011-08-26
564,44223,2011-08-20,2011-08-27
565,44224,2011-08-20,2011-08-27
566,44225,2011-08-21,2011-08-28
567,44226,2011-08-21,2011-08-28
568,44227,2011-08-21,2011-08-28
569,44228,2011-08-21,2011-08-28
570,44229,2011-08-21,2011-08-28
571,44230,2011-08-21,2011-08-28
572,44231,2011-08-21,2011-08-28
573,44232,2011-08-21,2011-08-28
574,44233,2011-08-22,2011-08-29
575,44234,2011-08-22,2011-08-29
576,44235,2011-08-22,2011-08-29
577,44236,2011-08-22,2011-08-29
578,44237,2011-08-22,2011-08-29
579,44238,2011-08-22,2011-08-29
580,44239,2011-08-23,2011-08-30
581,44240,2011-08-23,2011-08-30
582,44241,2011-08-23,2011-08-30
583,44242,2011-08-23,2011-08-30
584,44243,2011-08-23,2011-08-30
585,44244,2011-08-23,2011-08-30
586,44245,2011-08-23,2011-08-30
587,44246,2011-08-24,2011-08-31
588,44247,2011-08-24,2011-08-31
589,44248,2011-08-24,2011-08-31
590,44249,2011-08-25,2011-09-01
591,44250,2011-08-25,2011-09-01
592,44251,2011-08-25,2011-09-01
593,44252,2011-08-26,2011-09-02
594,44253,2011-08-26,2011-09-02
595,44254,2011-08-26,2011-09-02
596,44255,2011-08-26,2011-09-02
597,44256,2011-08-26,2011-09-02
598,44257,2011-08-27,2011-09-03
599,44258,2011-08-27,2011-09-03
600,44259,2011-08-27,2011-09-03
601,44260,2011-08-27,2011-09-03
602,44261,2011-08-27,2011-09-03
603,44262,2011-08-27,2011-09-03
604,44263,2011-08-27,2011-09-03
605,44264,2011-08-27,2011-09-03
606,44265,2011-08-27,2011-09-03
607,44266,2011-08-27,2011-09-03
608,44267,2011-08-28,2011-09-04
609,44268,2011-08-28,2011-09-04
610,44269,2011-08-29,2011-09-05
611,44270,2011-08-30,2011-09-06
612,44271,2011-08-30,2011-09-06
613,44272,2011-08-30,2011-09-06
614,44273,2011-08-30,2011-09-06
615,44274,2011-08-30,2011-09-06
616,44275,2011-08-30,2011-09-06
617,44276,2011-08-30,2011-09-06
618,44277,2011-08-30,2011-09-06
619,44278,2011-08-30,2011-09-06
620,44279,2011-08-30,2011-09-06
621,44280,2011-08-31,2011-09-07
622,44281,2011-08-31,2011-09-07
623,44282,2011-08-31,2011-09-07
624,44283,2011-08-31,2011-09-07
625,44284,2011-08-31,2011-09-07
626,44285,2011-08-31,2011-09-07
627,44286,2011-08-31,2011-09-07
628,44287,2011-08-31,2011-09-07
629,44288,2011-08-31,2011-09-07
630,44289,2011-08-31,2011-09-07
631,44290,2011-08-31,2011-09-07
632,44291,2011-08-31,2011-09-07
633,44292,2011-08-31,2011-09-07
634,44293,2011-08-31,2011-09-07
635,44294,2011-08-31,2011-09-07
636,44295,2011-08-31,2011-09-07
637,44296,2011-08-31,2011-09-07
638,44297,2011-08-31,2011-09-07
639,44298,2011-08-31,2011-09-07
640,44299,2011-08-31,2011-09-07
641,44300,2011-08-31,2011-09-07
642,44301,2011-08-31,2011-09-07
643,44302,2011-08-31,2011-09-07
644,44303,2011-08-31,2011-09-07
645,44304,2011-08-31,2011-09-07
646,44305,2011-08-31,2011-09-07
647,44306,2011-08-31,2011-09-07
648,44307,2011-08-31,2011-09-07
649,44308,2011-08-31,2011-09-07
650,44309,2011-08-31,2011-09-07
651,44310,2011-08-31,2011-09-07
652,44311,2011-08-31,2011-09-07
653,44312,2011-08-31,2011-09-07
654,44313,2011-08-31,2011-09-07
655,44314,2011-08-31,2011-09-07
656,44315,2011-08-31,2011-09-07
657,44316,2011-08-31,2011-09-07
658,44317,2011-08-31,2011-09-07
659,44318,2011-08-31,2011-09-07
660,44319,2011-08-31,2011-09-07
661,44320,2011-08-31,2011-09-07
662,44321,2011-08-31,2011-09-07
663,44322,2011-08-31,2011-09-07
664,44323,2011-08-31,2011-09-07
665,44324,2011-09-01,2011-09-08
666,44325,2011-09-01,2011-09-08
667,44326,2011-09-01,2011-09-08
668,44327,2011-09-02,2011-09-09
669,44328,2011-09-02,2011-09-09
670,44329,2011-09-02,2011-09-09
671,44330,2011-09-02,2011-09-09
672,44331,2011-09-03,2011-09-10
673,44332,2011-09-03,2011-09-10
674,44333,2011-09-04,2011-09-11
675,44334,2011-09-04,2011-09-11
676,44335,2011-09-04,2011-09-11
677,44336,2011-09-04,2011-09-11
678,44337,2011-09-04,2011-09-11
679,44338,2011-09-04,2011-09-11
680,44339,2011-09-04,2011-09-11
681,44340,2011-09-04,2011-09-11
682,44341,2011-09-05,2011-09-12
683,44342,2011-09-05,2011-09-12
684,44343,2011-09-05,2011-09-12
685,44344,2011-09-06,2011-09-13
686,44345,2011-09-06,2011-09-13
687,44346,2011-09-06,2011-09-13
688,44347,2011-09-06,2011-09-13
689,44348,2011-09-07,2011-09-14
690,44349,2011-09-07,2011-09-14
691,44350,2011-09-07,2011-09-14
692,44351,2011-09-07,2011-09-14
693,44352,2011-09-07,2011-09-14
694,44353,2011-09-07,2011-09-14
695,44354,2011-09-07,2011-09-14
696,44355,2011-09-07,2011-09-14
697,44356,2011-09-07,2011-09-14
698,44357,2011-09-07,2011-09-14
699,44358,2011-09-07,2011-09-14
700,44359,2011-09-08,2011-09-15
701,44360,2011-09-08,2011-09-15
702,44361,2011-09-08,2011-09-15
703,44362,2011-09-08,2011-09-15
704,44363,2011-09-08,2011-09-15
705,44364,2011-09-08,2011-09-15
706,44365,2011-09-08,2011-09-15
707,44366,2011-09-08,2011-09-15
708,44367,2011-09-08,2011-09-15
709,44368,2011-09-09,2011-09-16
710,44369,2011-09-09,2011-09-16
711,44370,2011-09-09,2011-09-16
712,44371,2011-09-09,2011-09-16
713,44372,2011-09-09,2011-09-16
714,44373,2011-09-10,2011-09-17
715,44374,2011-09-10,2011-09-17
716,44375,2011-09-10,2011-09-17
717,44376,2011-09-10,2011-09-17
718,44377,2011-09-10,2011-09-17
719,44378,2011-09-10,2011-09-17
720,44379,2011-09-10,2011-09-17
721,44380,2011-09-10,2011-09-17
722,44381,2011-09-11,2011-09-18
723,44382,2011-09-11,2011-09-18
724,44383,2011-09-11,2011-09-18
725,44384,2011-09-11,2011-09-18
726,44385,2011-09-11,2011-09-18
727,44386,2011-09-11,2011-09-18
728,44387,2011-09-11,2011-09-18
729,44388,2011-09-11,2011-09-18
730,44389,2011-09-11,2011-09-18
731,44390,2011-09-11,2011-09-18
732,44391,2011-09-11,2011-09-18
733,44392,2011-09-11,2011-09-18
